INDICATOR_SEQ,INDICATOR_NAME,PERIOD_YEAR,count,type
28461,Pascack Valley Line - OTP ,2011,97,target
28461,Pascack Valley Line - OTP ,2011,97.06666667,actual
28461,Pascack Valley Line - OTP ,2012,97,target
28461,Pascack Valley Line - OTP ,2012,98.28333333,actual
28461,Pascack Valley Line - OTP ,2013,97.45,target
28461,Pascack Valley Line - OTP ,2013,97.35833333,actual
28461,Pascack Valley Line - OTP ,2014,97.6,target
28461,Pascack Valley Line - OTP ,2014,94.85833333,actual
28461,Pascack Valley Line - OTP ,2015,96.5,target
28461,Pascack Valley Line - OTP ,2015,94.15,actual
28461,Pascack Valley Line - OTP ,2016,96.5,target
28461,Pascack Valley Line - OTP ,2016,96.975,actual
28461,Pascack Valley Line - OTP ,2017,96.5,target
28461,Pascack Valley Line - OTP ,2017,96.12222222,actual
28463,Mean Distance Between Failures,2008,1.00E+05,target
28463,Mean Distance Between Failures,2008,126518,actual
28463,Mean Distance Between Failures,2009,105000,target
28463,Mean Distance Between Failures,2009,93862.45455,actual
28463,Mean Distance Between Failures,2010,115000,target
28463,Mean Distance Between Failures,2010,142897.25,actual
28463,Mean Distance Between Failures,2011,125000,target
28463,Mean Distance Between Failures,2011,90371.5,actual
28463,Mean Distance Between Failures,2012,135000,target
28463,Mean Distance Between Failures,2012,174513.0833,actual
28463,Mean Distance Between Failures,2013,155000,target
28463,Mean Distance Between Failures,2013,159814.75,actual
28463,Mean Distance Between Failures,2014,160000,target
28463,Mean Distance Between Failures,2014,124214,actual
28463,Mean Distance Between Failures,2015,185000,target
28463,Mean Distance Between Failures,2015,163639.5,actual
28463,Mean Distance Between Failures,2016,2.00E+05,target
28463,Mean Distance Between Failures,2016,218203.1667,actual
28463,Mean Distance Between Failures,2017,2.00E+05,target
28463,Mean Distance Between Failures,2017,208706.125,actual
28530,Customer Injury Rate,2008,3.2,target
28530,Customer Injury Rate,2008,3.6825,actual
28530,Customer Injury Rate,2009,3.2,target
